corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
veraa	gabg	0001	##	##	##	##				
veraa	gabg	0001	lē	LOC	adp	adp				
veraa	gabg	0001	=n	=ART	=ln	=ln				
veraa	gabg	0001	qōn̄	night	np:other	np		other		
veraa	gabg	0001	ne	NUM.ART	rn	rn				
veraa	gabg	0001	vō-wal	NUM-one	rn	rn				
veraa	gabg	0001	n	ART	ln	ln				
veraa	gabg	0001	buskat	cat	np.d:pred	np	d	pred		
veraa	gabg	0001	wo	and	rn	rn				
veraa	gabg	0001	=n	=ART	=rn	=rn				
veraa	gabg	0001	gōsuwō	rat	rn_np.d	rn_np	d			
veraa	gabg	0002	##	##	##	##				
veraa	gabg	0002	duru	3DL	dl_pro.d:s	dl_pro	d	s		
veraa	gabg	0002	ga	STAT	lv	lv				
veraa	gabg	0002	'ōg'ōg	RED:stay	v:pred	v		pred		
veraa	gabg	0002	lē	LOC	adp	adp				
veraa	gabg	0002	=n	=ART	=ln	=ln				
veraa	gabg	0002	vunu	island	np:l	np		l		
veraa	gabg	0002	ne	NUM.ART	rn	rn				
veraa	gabg	0002	vō-wal	NUM-one	rn	rn				
veraa	gabg	0002	lē	LOC	adp	adp				
veraa	gabg	0002	=n	=ART	=ln	=ln				
veraa	gabg	0002	nim̄ē	house	np:l	np		l		
veraa	gabg	0002	ne	NUM.ART	rn	rn				
veraa	gabg	0002	vō-wal	NUM-one	rn	rn				
veraa	gabg	0003	##	##	##	##				
veraa	gabg	0003	duru	3DL	dl_pro.d:s	dl_pro	d	s		
veraa	gabg	0003	=m	=TAM1	=lv	=lv				
veraa	gabg	0003	'ōg	stay	v:pred	v		pred		
veraa	gabg	0003	kēlkēl	RED:back	rv	rv				
veraa	gabg	0004	##	##	##	##				
veraa	gabg	0004	qōn̄	night	np:other	np		other		
veraa	gabg	0004	ne	NUM.ART	rn	rn				
veraa	gabg	0004	vō-wal	NUM-one	rn	rn				
veraa	gabg	0004	n	ART	ln	ln				
veraa	gabg	0004	'ekē	place	np:s	np		s		
veraa	gabg	0004	ga	STAT	lv	lv				
veraa	gabg	0004	i'in	hot	v:pred	v		pred		
veraa	gabg	0004	lē	LOC	adp	adp				
veraa	gabg	0004	=n	=ART	=ln	=ln				
veraa	gabg	0004	lōlō	inside	ln	ln				
veraa	gabg	0004	m̄o-ruō	POSS.HOUSE-3DL	np:l-pro.d:poss	np		l-pro.d:poss		
veraa	gabg	0005	##	##	##	##				
veraa	gabg	0005	buskat	cat	np.d:s_ds	np	d	s_ds		
veraa	gabg	0005	ne	TAM2:3SG	lv-pro.d:s_ds	lv-pro	d	s_ds		
veraa	gabg	0005	tēk	speak	v:pred	v		pred		
veraa	gabg	0005	mē-n	DAT-CS	adp	adp				
veraa	gabg	0005	e	PERS.ART	ln	ln				
veraa	gabg	0005	gōsuwō	rat	np.d:g	np	d	g		
veraa	gabg	0006	##ds	##ds	##ds	##ds				
veraa	gabg	0006	bulsal	friend	np.d:voc	np	d	voc		
veraa	gabg	0006	gidu	1DL.IN	dl_pro.1:s	dl_pro	1	s		
veraa	gabg	0006	=k	=TAM2	=lv	=lv				
veraa	gabg	0006	van	go	v:pred	v		pred		
veraa	gabg	0006	tetel	walking	rv	rv				
veraa	gabg	0006	a	LOC.SP	adp	adp				
veraa	gabg	0006	lo	seaside	np:g	np		g		
veraa	gabg	0007	##	##	##	##				
veraa	gabg	0007	gōsuwō	rat	np.d:s_ds	np	d	s_ds		
veraa	gabg	0007	ne	TAM2:3SG	lv-pro.d:s_ds	lv-pro	d	s_ds		
veraa	gabg	0007	tēk	speak	v:pred	v		pred		
veraa	gabg	0007	mē-n	DAT-CS	adp	adp				
veraa	gabg	0007	e	PERS.ART	ln	ln				
veraa	gabg	0007	buskat	cat	np.d:g	np	d	g		
