corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
veraa	gaqg	0001	##	##	##	##				
veraa	gaqg	0001	No	1SG	pro.1:a	pro	1	a		
veraa	gaqg	0001	me	FUT	lv	lv				
veraa	gaqg	0001	kaka	narrate	v:pred	v		pred		
veraa	gaqg	0001	=n	=ART	=ln	=ln				
veraa	gaqg	0001	kaka	story	np:p	np		p		
veraa	gaqg	0001	ne	NUM.ART	rn	rn				
veraa	gaqg	0001	vō-wal	NUM-one	rn	rn				
veraa	gaqg	0002	##	##	##	##				
veraa	gaqg	0002	kaka	story	np:dt_s	np		dt_s		
veraa	gaqg	0002	anē	DEM1.A	rn_dem1	rn_dem1				
veraa	gaqg	0002	di	3SG	pro.d:s	pro	d	s		
veraa	gaqg	0002	=m	=TAM1	nc	nc				
veraa	gaqg	0002	'a...	HES	nc	nc				
veraa	gaqg	0002	'amē	ASS	adp	adp				
veraa	gaqg	0002	=n	=ART	=ln	=ln				
veraa	gaqg	0002	qono	seagull	np.d:pred	np	d	pred		
veraa	gaqg	0002	wo	and	rn	rn				
veraa	gaqg	0002	=n	=ART	=rn	=rn				
veraa	gaqg	0002	gusuwō	rat	rn_np.d	rn_np	d			
veraa	gaqg	0003	##	##	##	##				
veraa	gaqg	0003	lē	LOC	adp	adp				
veraa	gaqg	0003	=n	=ART	=ln	=ln				
veraa	gaqg	0003	qōn̄	night	np:other	np		other		
veraa	gaqg	0003	ne	NUM.ART	rn	rn				
veraa	gaqg	0003	vō-wal	NUM-one	rn	rn				
veraa	gaqg	0003	n	ART	ln	ln				
veraa	gaqg	0003	qono	seagull	np.d:pred	np	d	pred		
veraa	gaqg	0003	wo	and	rn	rn				
veraa	gaqg	0003	=n	=ART	=rn	=rn				
veraa	gaqg	0003	gusuwō	rat	rn_np.d	rn_np	d			
veraa	gaqg	0003	##	##	##neg	##neg				
veraa	gaqg	0003	duruō	3DL	dl_pro.d:a	dl_pro	d	a		
veraa	gaqg	0003	e	GEN.NEG1	lv	lv				
veraa	gaqg	0003	lama'i	know	v:pred	v		pred		
veraa	gaqg	0003	kēl	back	rv	rv				
veraa	gaqg	0003	rōs	GEN.NEG2	rv	rv				
