corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
veraa	hhak	0001	##		##	##				
veraa	hhak	0001	qōn̄	night	np:other	np		other		
veraa	hhak	0001	ne	NUM.ART	rn	rn				
veraa	hhak	0001	vōwal	NUM-one	rn	rn				
veraa	hhak	0001	'ama'	devil	np.d:pred	np	d	pred		
veraa	hhak	0001	kurkur	RED:devour	rn	rn				
veraa	hhak	0002	##		##	##				
veraa	hhak	0002	di	3SG	pro.d:a	pro	d	a		
veraa	hhak	0002	ga	STAT	lv	lv				
veraa	hhak	0002	kurkur	RED:devour	v:pred	v		pred		
veraa	hhak	0002	ēn	ART	ln	ln				
veraa	hhak	0002	'erē	PL	ln	ln				
veraa	hhak	0002	'an̄sara	person	np.h:p	np	h	p		
veraa	hhak	0002	##		##	##				
veraa	hhak	0002	di	3SG	pro.d:a	pro	d	a		
veraa	hhak	0002	ga	STAT	lv	lv				
veraa	hhak	0002	kur	devour	v:pred	v		pred		
veraa	hhak	0002	ēn	ART	ln	ln				
veraa	hhak	0002	'an̄sara	person	np.h:p	np	h	p		
veraa	hhak	0002	deln̄e	around	adp	adp				
veraa	hhak	0002	=n	=ART	=ln	=ln				
veraa	hhak	0002	Vunu	Vunu	np:l	np		l		
veraa	hhak	0002	Lava	Lava	rn	rn				
veraa	hhak	0003	##		##	##				
veraa	hhak	0003	di	3SG	pro.d:s	pro	d	s		
veraa	hhak	0003	=m	=TAM1	=lv	=lv				
veraa	hhak	0003	kur	devour	v:pred	v		pred		
veraa	hhak	0003	...	...	x	x				
veraa	hhak	0003	##		##	##				
veraa	hhak	0003	di	3SG	pro.d:a	pro	d	a		
veraa	hhak	0003	=m	=TAM1	=lv	=lv				
veraa	hhak	0003	qē'ēg	begin	v:pred	v		pred		
veraa	hhak	0003	kur	devour	rv	rv				
veraa	hhak	0003	ēn	ART	ln	ln				
veraa	hhak	0003	'a...	HES	nc	nc				
veraa	hhak	0003	ēn	ART	nc	nc				
veraa	hhak	0003	'erē	PL	ln	ln				
veraa	hhak	0003	'an̄sara	person	np.h:p	np	h	p		
veraa	hhak	0003	lē	LOC	adp	adp				
veraa	hhak	0003	=n	=ART	=ln	=ln				
veraa	hhak	0003	mē'ē	eye	np:l	np		l		
veraa	hhak	0003	lōo	sun	rn	rn				
veraa	hhak	0003	##		##	##				
veraa	hhak	0003	di	3SG	pro.d:a	pro	d	a		
veraa	hhak	0003	=m	=TAM1	=lv	=lv				
veraa	hhak	0003	kur	devour	v:pred	v		pred		
veraa	hhak	0003	kur	devour	nc	nc				
veraa	hhak	0003	kur	devour	nc	nc				
veraa	hhak	0003	ZERO		0.h:p	0	h	p		
veraa	hhak	0003	vavavan	go	other	other				
veraa	hhak	0004	##		##	##				
veraa	hhak	0004	ZERO		0.d:s	0	d	s		
veraa	hhak	0004	ne	TAM2:3SG	lv-pro.d:s	lv-pro	d	s		
veraa	hhak	0004	din̄	reach	v:pred	v		pred		
veraa	hhak	0004	ma	hither	rv	rv				
veraa	hhak	0004	lē	LOC	adp	adp				
veraa	hhak	0004	=n	=ART	=ln	=ln				
veraa	hhak	0004	'ōnō	place	np:g	np		g		
veraa	hhak	0004	'ul	drown	rn	rn				
veraa	hhak	0004	nō	POSS.DOM	rn	rn				
veraa	hhak	0004	lō	sun	rn	rn				
veraa	hhak	0004	anē	DEM1.A	rn_dem1	rn_dem1				
veraa	hhak	0004	##		##	##				
veraa	hhak	0004	n	ART	ln	ln				
veraa	hhak	0004	vunu	village	np:dt	np		dt		
veraa	hhak	0004	ne	NUM.ART	rn	rn				
veraa	hhak	0004	vōwal	NUM-one	rn	rn				
veraa	hhak	0004	rak	out	rn	rn				
veraa	hhak	0004	suwēn	DIR<suw>	rn	rn				
veraa	hhak	0004	di	3SG	pro.d:dt_s	pro	d	dt_s		
veraa	hhak	0004	rekso	like	other	other				
veraa	hhak	0004	di	3SG	pro.d:s	pro	d	s		
veraa	hhak	0004	=m	=TAM1	=lv	=lv				
veraa	hhak	0004	kurkur	RED:devour	v:pred	v		pred		
veraa	hhak	0004	vavan	RED:go	other	other				
veraa	hhak	0004	##		##neg	##neg				
veraa	hhak	0004	ba	but	other	other				
veraa	hhak	0004	di	3SG	pro.d:s	pro	d	s		
veraa	hhak	0004	din̄	reach	v:pred	v		pred		
veraa	hhak	0004	rakrak	out	rv	rv				
veraa	hhak	0004	'ēn	NY.NEG2	rv	rv				
veraa	hhak	0004	suwō	DIR<suw>	rv	rv				
veraa	hhak	0004	lēn...	LOC...	nc	nc				
veraa	hhak	0004	##		##	##				
veraa	hhak	0004	qōn	night	np:other	np		other		
veraa	hhak	0004	ne	NUM.ART	rn	rn				
veraa	hhak	0004	vōwal	NUM-one	rn	rn				
veraa	hhak	0005	dir	3PL	pl_pro.h:s	pl_pro	h	s		
veraa	hhak	0005	=ēk	=TAM2	=lv	=lv				
veraa	hhak	0005	mi-mi'ir	RED-sleep	v:pred	v		pred		
veraa	hhak	0005	'i	DEL	rv	rv				
veraa	hhak	0005	##		##	##				
veraa	hhak	0005	n	ART	ln	ln				
veraa	hhak	0005	'ama'	devil	np.d:s	np	d	s		
veraa	hhak	0005	kurkur	RED:devour	rn	rn				
veraa	hhak	0005	ne	TAM2:3SG	lv-pro.d:s	lv-pro	d	s		
veraa	hhak	0005	van	go	v:pred	v		pred		
veraa	hhak	0005	ma	hither	rv	rv				
veraa	hhak	0005	sir	for	adp	adp				
veraa	hhak	0005	dirē	3PL	pl_pro.h:g	pl_pro	h	g		
veraa	hhak	0006	##		##	##				
veraa	hhak	0006	ZERO		0.d:s	0	d	s		
veraa	hhak	0006	van	go	v:pred	v		pred		
veraa	hhak	0006	ma	hither	rv	rv				
veraa	hhak	0006	##		##	##				
veraa	hhak	0006	di	3SG	pro.d:s	pro	d	s		
