corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
veraa	iswm	0001	#	#	#nc	#nc				
veraa	iswm	0001	itok	good	nc	nc				
veraa	iswm	0001	nēn	ART	nc	nc				
veraa	iswm	0001	tēk	speak	nc	nc				
veraa	iswm	0001	kaka	story	nc	nc				
veraa	iswm	0001	#	#	##	##				
veraa	iswm	0001	no	1SG	pro.1:a	pro	1	a		
veraa	iswm	0001	=k	=TAM2	=lv	=lv				
veraa	iswm	0001	kaka	story	v:pred	v		pred		
veraa	iswm	0001	=n	=ART	=ln	=ln				
veraa	iswm	0001	neln̄o	neln̄o	np:p	np		p		
veraa	iswm	0001	vu'	spirit	rn	rn				
veraa	iswm	0001	agēnē	DEM2.A	rn_dem2	rn_dem2				
veraa	iswm	0002	#	#	##	##				
veraa	iswm	0002	di	3SG	nc	nc				
veraa	iswm	0002	me	FUT	nc	nc				
veraa	iswm	0002	no	1SG	pro.1:a	pro	1	a		
veraa	iswm	0002	me	FUT	lv	lv				
veraa	iswm	0002	kaka	story	v:pred	v		pred		
veraa	iswm	0002	'ar	chop	rv	rv				
veraa	iswm	0002	e	PERS.ART	ln	ln				
veraa	iswm	0002	Wowōt	Wowōt	pn_np.h:p	pn_np	h	p	7001	new
veraa	iswm	0002	wo	and	rn	rn				
veraa	iswm	0002	e	PERS.ART	rn	rn				
veraa	iswm	0002	m̄eter	m̄eter	rn_pn_np.h	rn_pn_np	h		7002	new
veraa	iswm	0003	#	#	##	##				
veraa	iswm	0003	Wowōt	Wowōt	pn_np.h:dt_poss	pn_np	h	dt_poss	7001	
veraa	iswm	0003	'o-gi	'o-3SG	rn_adp	rn_adp				
veraa	iswm	0003	e	PERS.ART	rn	rn				
veraa	iswm	0003	m̄eter	m̄eter	rn_pn_np.h	rn_pn_np	h		7002	
veraa	iswm	0003	eh	HES	nc	nc				
veraa	iswm	0003	n	ART	ln	ln				
veraa	iswm	0003	vono	vono	np:s	np		s	7003	new
veraa	iswm	0003	-ruō	-3DL	-rn_pro.h:poss	-rn_pro	h	poss	7004	bridging
veraa	iswm	0003	aqit	far.away	other:pred	other		pred		
veraa	iswm	0004	#	#	##	##				
veraa	iswm	0004	duru	3DL	pro.h:s	pro	h	s	7004	
veraa	iswm	0004	ga	STAT	lv	lv				
veraa	iswm	0004	'ōg	stay	v:pred	v		pred		
veraa	iswm	0004	wal	once	rv	rv				
veraa	iswm	0004	sag	up	rv	rv				
veraa	iswm	0004	lē	LOC	adp	adp				
veraa	iswm	0004	=n	=ART	=ln	=ln				
veraa	iswm	0004	vono-n	vono-CS	np:l	np		l	7006	new
veraa	iswm	0004	e	PERS.ART	rn	rn				
veraa	iswm	0004	Wowōt	Wowōt	rn_pn_np.h:poss	rn_pn_np	h	poss	7001	
veraa	iswm	0004	a	LOC.SP	rn	rn				
veraa	iswm	0004	Nōs	place.name	rn_pn_np	rn_pn_np				
veraa	iswm	0005	#	#	##	##				
veraa	iswm	0005	ZERO	ZERO	0:s	0		s	7006	
veraa	iswm	0005	so	name	np:pred	np		pred		
veraa	iswm	0005	'ekē	place	rn	rn				
veraa	iswm	0005	ne	NUM.ART	rn	rn				
veraa	iswm	0005	vō-wal	NUM-one	rn	rn				
veraa	iswm	0005	#	#	#rc_rn	#rc_rn				
veraa	iswm	0005	dir	3PL	pro.h:a	pro	h	a	7005	new
veraa	iswm	0005	ga	STAT	lv	lv				
veraa	iswm	0005	ul	call	v:pred	v		pred		
veraa	iswm	0005	ZERO	ZERO	0:p	0		p	7006	
veraa	iswm	0005	a	LOC.SP	adp	adp				
veraa	iswm	0005	Nōs	place.name	pn_np:other	pn_np		other		
veraa	iswm	0006	#	#	##	##				
veraa	iswm	0006	vono-n	home-CS	np:dt	np		dt	7007	bridging
veraa	iswm	0006	e	PERS.ART	rn	rn				
veraa	iswm	0006	m̄eter	m̄eter	rn_pn_np.h:poss	rn_pn_np	h	poss	7002	
veraa	iswm	0006	#	#	#nc	#nc				
veraa	iswm	0006	dir	3PL	nc_pro.h	nc_pro	h		7005	
veraa	iswm	0006	ga	STAT	nc	nc				
veraa	iswm	0006	ul	call	nc	nc				
veraa	iswm	0006	di	3SG	nc_pro	nc_pro			7007	
veraa	iswm	0006	ga	STAT	nc	nc				
veraa	iswm	0006	'ōg	stay	nc	nc				
veraa	iswm	0006	n̄ere	n̄ere	nc	nc				
veraa	iswm	0007	n̄eregi	n̄eregi	nc	nc				
veraa	iswm	0007	'a	'a	nc	nc				
veraa	iswm	0007	sag	sag	nc	nc				
veraa	iswm	0007	'a	'a	nc	nc				
veraa	iswm	0007	'a	'a	nc	nc				
veraa	iswm	0007	%	%	nc	nc				
veraa	iswm	0008	n̄erelan̄tir	place.name	nc	nc				
veraa	iswm	0009	ga	STAT	nc	nc				
veraa	iswm	0009	'ōg	stay	nc	nc				
veraa	iswm	0009	'a	'a	nc	nc				
veraa	iswm	0009	n̄ere	NC	nc	nc				
veraa	iswm	0009	eh	HES	nc	nc				
veraa	iswm	0009	%	%	%	%				
veraa	iswm	0009	m̄eter	m̄eter	pn_np.h:s	pn_np	h	s	7002	
veraa	iswm	0009	ga	STAT	lv	lv				
veraa	iswm	0009	'ōg	stay	v:pred	v		pred		
veraa	iswm	0009	a	LOC.SP	adp	adp				
veraa	iswm	0009	n̄erelan̄tir	place.name	pn_np:l	pn_np		l	7007	
veraa	iswm	0010	#	#	##	##				
veraa	iswm	0010	Wowōt	Wowōt	pn_np.h:s	pn_np	h	s	7001	
veraa	iswm	0010	ga	STAT	lv	lv				
veraa	iswm	0010	'ōg	stay	v:pred	v		pred		
veraa	iswm	0010	a	LOC.SP	adp	adp				
veraa	iswm	0010	Nōs	place.name	pn_np:l	pn_np		l	7006	
veraa	iswm	0011	#	#	##	##				
veraa	iswm	0011	n	ART	ln	ln				
veraa	iswm	0011	qōn̄	night	np:other	np		other		
veraa	iswm	0011	ne	NUM.ART	rn	rn				
veraa	iswm	0011	vō-wal	NUM-one	rn	rn				
veraa	iswm	0012	e	PERS.ART	ln	ln				
veraa	iswm	0012	ruwa	two.people	np.h:pred	np	h	pred	7008	new
veraa	iswm	0012	mē	DAT	rn	rn				
veraa	iswm	0012	=n	=ART	=rn	=rn				
veraa	iswm	0012	gunu	gunu	rn_np.h	rn_np	h			
veraa	iswm	0012	-ruō	-3DL	-rn_pro.h:poss	-rn_pro	h	poss	7008	
veraa	iswm	0012	duru	3DL	pro.h:s	pro	h	s	7008	
veraa	iswm	0012	=m	=TAM1	=lv	=lv				
