corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
veraa	jjq	0001	#		##	##				
veraa	jjq	0001	qōn̄	day	np:other	np		other		
veraa	jjq	0001	ne	NUM.ART	rn	rn				
veraa	jjq	0001	vo-̄wal	NUM-one	rn	rn				
veraa	jjq	0002	Qo'	Qo'	np.h:pred	np	h	pred		
veraa	jjq	0002	birin̄	with	rn	rn				
veraa	jjq	0002	e	ART	rn	rn				
veraa	jjq	0002	raga	people	rn	rn				
veraa	jjq	0002	'i-'isi-gi	NSG-brother-3SG	rn_np.h-pro.h:poss	rn_np	h-pro.h	poss		
veraa	jjq	0003	#		##	##				
veraa	jjq	0003	e	ART 	ln	ln				
veraa	jjq	0003	raga	people	ln	ln				
veraa	jjq	0003	'i-'isi-gi	NSG-brother-3SG	np.h:s-pro.h:poss	np	h	s-pro.h:poss		
veraa	jjq	0003	san̄wul	ten	np:pred	np		pred		
veraa	jjq	0003	wal	one	rn	rn				
veraa	jjq	0003	dēmē	??	rn	rn				
veraa	jjq	0003	ne	NUM.ART	rn	rn				
veraa	jjq	0003	vō-ruō	NUM-two	rn	rn				
veraa	jjq	0004	#		##	##				
veraa	jjq	0004	dir	3PL	pro.h:s	pro	h	s		
veraa	jjq	0004	=m	=TAM1	=lv	=lv				
veraa	jjq	0004	'ōg'ōg	RED:stay	v:pred	v		pred		
veraa	jjq	0004	a	LOC.SP	adp	adp				
veraa	jjq	0004	Rev	Rev	np:l	np		l		
veraa	jjq	0005	#		##	##				
veraa	jjq	0005	a	LOC.SP	adp	adp				
veraa	jjq	0005	Rev	Rev	np:dt	np		dt		
veraa	jjq	0005	si	if	other	other				
veraa	jjq	0005	nik	2SG	pro.2:s	pro	2	s		
veraa	jjq	0005	van	go	v:pred	v		pred		
veraa	jjq	0005	din̄	reach	rv	rv				
veraa	jjq	0005	a	LOC.SP	adp	adp				
veraa	jjq	0005	Rev	Rev	np:g	np		g		
veraa	jjq	0005	#		##	##				
veraa	jjq	0005	nik	2SG	pro.2:a	pro	2	a		
veraa	jjq	0005	ē	TAM2:2SG	lv-pro.2:a	lv-pro	2	a		
veraa	jjq	0005	'ēn	see	v:pred	v		pred		
veraa	jjq	0005	ēn	ART	ln	ln				
veraa	jjq	0005	skul	school	np:p	np		p		
veraa	jjq	0005	luwo	big	rn	rn				
veraa	jjq	0005	#		##	##				
veraa	jjq	0005	so-gi	name-3SG	np:s-pro:poss	np		s-pro:poss		
veraa	jjq	0005	nē	DEM1	rn	rn				
veraa	jjq	0005	bēne	PRO.OBL	other:predex	other		predex		
veraa	jjq	0005	#							
veraa	jjq	0005	a	LOC.SP	adp	adp				
veraa	jjq	0005	Rev	Rev	np:pred	np		pred		
veraa	jjq	0005	sa	EMPH	ln	ln				
veraa	jjq	0005	nē	DEM1	dem1_pro:s	dem1_pro		s		
veraa	jjq	0005	n	ART	ln	ln				
veraa	jjq	0005	vono-n	home-CS	np:dt_pred	np		dt_pred		
