corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
veraa	mvbw	0001	##	##	#nc	#nc				
veraa	mvbw	0001	varian	thanks	x	x				
veraa	mvbw	0001	Stefan	Stefan	x	x				
veraa	mvbw	0001	##	##	##	##				
veraa	mvbw	0001	no	1SG	pro.1:a	pro	1	a		
veraa	mvbw	0001	me	FUT	lv	lv				
veraa	mvbw	0001	kaka	narrate	v:pred	v		pred		
veraa	mvbw	0001	=n	=ART	=ln	=ln				
veraa	mvbw	0001	kaka	story	np:p	np		p		
veraa	mvbw	0001	ne	NUM.ART	rn	rn				
veraa	mvbw	0001	vō-wal	NUM-one	rn	rn				
veraa	mvbw	0002	##	##	##	##				
veraa	mvbw	0002	rekso	like	other	other				
veraa	mvbw	0002	wunva	probably	other	other				
veraa	mvbw	0002	vaga	always	other	other				
veraa	mvbw	0002	no	1SG	pro.1:s	pro	1	s		
veraa	mvbw	0002	ga	STAT	lv	lv				
veraa	mvbw	0002	rēv	write	v:pred	v		pred		
veraa	mvbw	0003	##	##	##	##				
veraa	mvbw	0003	ba	but	other	other				
veraa	mvbw	0003	enei	now	other	other				
veraa	mvbw	0003	no	1SG	pro.1:s	pro	1	s		
veraa	mvbw	0003	me	FUT	lv	lv				
veraa	mvbw	0003	da	do	v:pred	v		pred		
veraa	mvbw	0003	'eno	try	rv	rv				
veraa	mvbw	0003	#cc	#cc	#cc	#cc				
veraa	mvbw	0003	no	1SG	pro.1:a	pro	1	a		
veraa	mvbw	0003	=k	=TAM2	=lv	=lv				
veraa	mvbw	0003	kaka	narrate	v:pred	v		pred		
veraa	mvbw	0003	=n	=ART	=ln	=ln				
veraa	mvbw	0003	kaka	story	np:p	np		p		
veraa	mvbw	0003	ne	NUM.ART	rn	rn				
veraa	mvbw	0003	vō-wal	NUM-one	rn	rn				
veraa	mvbw	0004	##	##	##	##				
veraa	mvbw	0004	no	1SG	pro.1:s	pro	1	s		
veraa	mvbw	0004	ga	STAT	lv	lv				
veraa	mvbw	0004	mōrōs	like	v:pred	v		pred		
veraa	mvbw	0004	#cc	#cc	#cc	#cc				
veraa	mvbw	0004	no	1SG	pro.1:a	pro	1	a		
veraa	mvbw	0004	=k	=TAM2	=lv	=lv				
veraa	mvbw	0004	dedicatem	dedicate	v:pred	v		pred		
veraa	mvbw	0004	ēn	ART	ln	ln				
veraa	mvbw	0004	kaka	story	np:p	np		p		
veraa	mvbw	0004	agēnē	DEM2.A	rn_dem2	rn_dem2				
veraa	mvbw	0004	mē-n	DAT-CS	adp	adp				
veraa	mvbw	0004	e	PERS.ART	ln	ln				
veraa	mvbw	0004	raga	people	ln	ln				
veraa	mvbw	0004	m̄ērm̄ēre	kid	np.h:g	np	h	g		
veraa	mvbw	0004	#ac	#ac	#ac	#ac				
veraa	mvbw	0004	rekso	like	other	other				
veraa	mvbw	0004	dir	3PL	pro.h:a	pro	h	a		
veraa	mvbw	0004	me	FUT	lv	lv				
veraa	mvbw	0004	rōn̄	hear	v:pred	v		pred		
veraa	mvbw	0004	ēn	ART	ln	ln				
veraa	mvbw	0004	kaka	story	np:p	np		p		
veraa	mvbw	0004	anē	DEM1.A	rn_dem1	rn_dem1				
veraa	mvbw	0004	#ac	#ac	#ac	#ac				
veraa	mvbw	0004	si	or	other	other				
veraa	mvbw	0004	dir	3PL	pro.h:a	pro	h	a		
veraa	mvbw	0004	me	FUT	lv	lv				
veraa	mvbw	0004	vasōgō	read	v:pred	v		pred		
veraa	mvbw	0004	ZERO		0:p	0		p		
