corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
veraa	pala	0001	#		##	##				
veraa	pala	0001	qōn̄	day	np:other	np		other		
veraa	pala	0001	ne	NUM.ART	rn	rn				
veraa	pala	0001	vō-wal	NUM-one	rn	rn				
veraa	pala	0001	e	PERS.ART	ln	ln				
veraa	pala	0001	ruwa	two.people	np:pred	np		pred		
veraa	pala	0001	mē	DAT	rn	rn				
veraa	pala	0001	gunu-ruō	spouse-3DL	rn_np-pro.h:poss	rn_np-pro	h	poss		
veraa	pala	0002	#		##	##				
veraa	pala	0002	duru	3DL	pro.h:s	pro	h	s		
veraa	pala	0002	=m	=TAM1	=lv	=lv				
veraa	pala	0002	'ōg-'ōgo	RED-stay	v:pred	v		pred		
veraa	pala	0003	#		##	##				
veraa	pala	0003	ren̄e	woman	np.h:s	np	h	s		
veraa	pala	0003	ne	TAM2:3SG	lv-pro.h:s	lv-pro	h	s		
veraa	pala	0003	wotoqtoqo	pregnant	v:pred	v		pred		
veraa	pala	0003	#		##	##				
veraa	pala	0003	ZERO		0.h:a	0	h	a		
veraa	pala	0003	ne	TAM2:3SG	lv-pro.h:a	lv-pro	h	a		
veraa	pala	0003	visis	give.birth.to	v:pred	v		pred		
veraa	pala	0003	ēn	ART	ln	ln				
veraa	pala	0003	ni'i	child	np.h:p	np	h	p		
veraa	pala	0003	ren̄e	woman	rn	rn				
veraa	pala	0004	#		##	##				
veraa	pala	0004	alē	alright	other	other				
veraa	pala	0004	duru	3DL	pro.h:a	pro	h	a		
veraa	pala	0004	=k	 =TAM2	=lv	=lv				
veraa	pala	0004	'ēn	see	v:pred	v		pred		
veraa	pala	0004	gōr	secure	rv	rv				
veraa	pala	0004	ēn	ART	ln	ln				
veraa	pala	0004	tētē	child	np.h:p	np	h	p		
veraa	pala	0004	anē	DEM1.A	rn	rn				
veraa	pala	0004	#							
veraa	pala	0004	=n	=ART	=ln	=ln				
veraa	pala	0005	tētē	child	np.h:s	np	h	s		
veraa	pala	0005	ne	TAM2:3SG	lv-pro.h:s	lv-pro	h	s		
veraa	pala	0005	'ō-'ō-'ōgo	RED-RED-stay	v:pred	v		pred		
veraa	pala	0005	#		##	##				
veraa	pala	0005	ZERO		0.h:s	0	h	s		
