corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
veraa	pala	0098	#	#	#nc	#nc				
veraa	pala	0098	dir'ōl	3TL	nc_pro.h	nc_pro	h		10022	
veraa	pala	0098	=ēm	=TAM1	nc	nc				
veraa	pala	0098	s	NC	nc	nc				
veraa	pala	0098	#	#	##	##				
veraa	pala	0098	dir'ōl	3TL	pro.h:s	pro	h	s	10022	
veraa	pala	0098	=ēm	=TAM1	=lv	=lv				
veraa	pala	0098	su-suō	RED-paddle	v:pred	v		pred		
veraa	pala	0098	#	#	##	##				
veraa	pala	0098	rekso	like	other	other				
veraa	pala	0098	dir'ōl	3TL	pro.h:a	pro	h	a	10022	
veraa	pala	0098	man	PFV	lv	lv				
veraa	pala	0098	suō	paddle	v:pred	v		pred		
veraa	pala	0098	gala	pass	rv	rv				
veraa	pala	0098	=n	=ART	=ln	=ln				
veraa	pala	0098	ēn	ART	nc	nc				
veraa	pala	0098	n	ART	nc	nc				
veraa	pala	0098	n̄ērsi-gi	point-3SG	np:p	np		p	10028	
veraa	pala	0098	vo-̄wal	NUM-one	rn	rn				
veraa	pala	0099	#	#	##	##				
veraa	pala	0099	enei	now	other	other				
veraa	pala	0099	dir'ōl	3TL	pro.h:s	pro	h	s	10022	
veraa	pala	0099	=k	=TAM2	=lv	=lv				
veraa	pala	0099	suō	paddle	v:pred	v		pred		
veraa	pala	0099	'i	DEL	rv	rv				
veraa	pala	0099	lik	more	rv	rv				
veraa	pala	0099	sir	towards	adp	adp				
veraa	pala	0099	ēn	ART	ln	ln				
veraa	pala	0099	n̄ērsi-gi	point-3SG	np:g	np		g	10029	new
veraa	pala	0099	vō-wal	NUM-one	rn	rn				
veraa	pala	0100	#	#	##	##				
veraa	pala	0100	dir'ōl	3TL	pro.h:s	pro	h	s	10022	
veraa	pala	0100	=ēm	=TAM1	=lv	=lv				
veraa	pala	0100	suō	paddle	v:pred	v		pred		
veraa	pala	0100	asenē	MAN.DEM1.A	other	other				
veraa	pala	0100	#	#	##	##				
veraa	pala	0100	ZERO	ZERO	0.h:s	0	h	s	10022	
veraa	pala	0100	=m	=TAM1	=lv	=lv				
veraa	pala	0100	su-suō	RED-paddle	v:pred	v		pred		
veraa	pala	0101	#	#	##	##				
veraa	pala	0101	dir'ōl	3TL	pro.h:a	pro	h	a	10022	
veraa	pala	0101	=ēm	=TAM1	=lv	=lv				
veraa	pala	0101	suō	paddle	v:pred	v		pred		
veraa	pala	0101	gala	pass	rv	rv				
veraa	pala	0101	ēn	ART	ln	ln				
veraa	pala	0101	n̄ērsi-gi	point-3SG	np:p	np		p	10030	bridging
veraa	pala	0101	san̄wul	NUM-ten	rn	rn				
veraa	pala	0101	nē	DEM1	other	other				
veraa	pala	0102	#	#	##	##				
veraa	pala	0102	alē	INTERJ	other	other				
veraa	pala	0102	dir'ōl	3TL	pro.h:a	pro	h	a	10022	
veraa	pala	0102	=k	=TAM2	=lv	=lv				
veraa	pala	0102	rēv	drag	v:pred	v		pred		
veraa	pala	0102	kal	upward	rv	rv				
veraa	pala	0102	ēn	ART	ln	ln				
veraa	pala	0102	nak	canoe	np:p	np		p	10025	
veraa	pala	0102	su-suō	RED-paddle	rn	rn				
veraa	pala	0102	va'anē	TEMP.DEM1	other	other				
veraa	pala	0103	#	#	##	##				
veraa	pala	0103	dir'ōl	3TL	pro.h:a	pro	h	a	10022	
veraa	pala	0103	=m	=TAM1	=lv	=lv				
veraa	pala	0103	rēv	drag	v:pred	v		pred		
veraa	pala	0103	kal	upward	rv	rv				
