ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1001,1002,>
2,1001,1004,>
3,1002,1001,<
4,1004,1001,<
5,1005,1015,<
6,1007,1015,<
7,1010,1007,M
8,1015,1005,>
9,1015,1007,>
10,1021,1005,>
11,1021,1007,>
12,1021,1009,>
13,1021,1015,>
14,1028,1009,<
15,1029,1009,<
16,1033,1025,<
17,1034,1025,<
18,1042,1029,M
19,1043,1028,M
20,1044,1042,>
21,1044,1043,>
22,2002,2017,>
23,2002,2018,>
24,2002,2009,<
25,2006,2032,>
26,2006,2009,<
27,2009,2002,>
28,2009,2006,>
29,2017,2020,>
30,2017,2021,>
31,2017,2002,<
32,2018,2002,<
33,2020,2017,M
34,2021,2017,M
35,2032,2006,M
36,3001,3022,>
37,3001,3003,<
38,3002,3021,>
39,3002,3027,>
40,3002,3030,>
41,3002,3031,>
42,3002,3003,<
43,3003,3001,>
44,3003,3002,>
45,3017,3018,>
46,3018,3025,>
47,3018,3017,<
48,3019,3020,>
49,3020,3019,<
50,3021,3002,M
51,3022,3001,M
52,3025,3018,M
53,3027,3002,M
54,3030,3002,M
55,3031,3002,M
56,4001,4003,<
57,4002,4003,<
58,4002,4018,<
59,4003,4001,>
60,4003,4002,>
61,4006,4010,M
62,4010,4006,>
63,4016,4017,>
64,4016,4038,>
65,4016,4039,>
66,4016,4018,<
67,4017,4016,M
68,4018,4002,>
69,4018,4016,>
70,4023,4024,>
71,4024,4023,<
72,4038,4016,M
73,4039,4016,M
74,5017,5016,<
75,5018,5016,>
76,5021,5015,M
77,5022,5016,>
78,5022,5020,>
79,5028,5015,>
80,5028,5027,>
81,5039,5027,<
82,5041,5027,<
83,5061,5001,M
84,5063,5001,M
85,6002,6009,>
86,6002,6010,>
87,6003,6017,>
88,6003,6024,>
89,6003,6037,>
90,6003,6038,>
91,6003,6039,>
92,6003,6018,<
93,6009,6002,<
94,6010,6002,<
95,6010,6018,<
96,6017,6003,M
97,6018,6003,>
98,6018,6010,>
99,6024,6003,<
100,6037,6038,>
101,6037,6039,>
102,6037,6003,M
103,6038,6003,M
104,6038,6037,M
105,6039,6003,M
106,6039,6037,M
107,7001,7046,>
108,7001,7056,>
109,7001,7070,>
110,7001,7004,<
111,7001,7133,<
112,7002,7068,>
113,7002,7069,>
114,7002,7004,<
115,7004,7001,>
116,7004,7002,>
117,7005,7084,>
118,7005,7086,>
119,7008,7010,>
120,7008,7015,>
121,7008,7020,<
122,7008,7096,<
123,7008,7138,<
124,7010,7008,<
125,7010,7020,<
126,7010,7138,<
127,7011,7012,>
128,7011,7013,>
129,7012,7011,<
130,7013,7011,<
131,7015,7008,<
132,7015,7020,<
133,7015,7138,<
134,7020,7008,>
135,7020,7010,>
136,7020,7015,>
137,7024,7031,<
138,7025,7027,<
139,7025,7031,<
140,7026,7027,<
141,7026,7031,<
142,7027,7025,>
143,7027,7026,>
144,7027,7031,<
145,7031,7024,>
146,7031,7025,>
147,7031,7026,>
148,7031,7027,>
149,7032,7033,>
150,7033,7032,<
151,7035,7037,<
152,7036,7037,<
153,7037,7035,>
154,7037,7036,>
155,7042,7043,>
156,7042,7064,>
157,7042,7065,>
158,7043,7042,<
159,7046,7001,M
160,7056,7001,<
161,7056,7114,<
162,7064,7042,<
163,7065,7042,<
164,7068,7002,M
165,7069,7002,M
166,7070,7001,M
167,7083,7089,>
168,7083,7114,<
169,7083,7133,<
170,7084,7005,M
171,7086,7088,>
172,7086,7005,<
173,7088,7086,M
174,7089,7083,M
175,7095,7096,<
176,7096,7008,>
177,7096,7095,>
178,7096,7101,>
179,7098,7099,<
180,7099,7097,>
181,7099,7098,>
182,7101,7096,<
183,7103,7104,>
184,7104,7103,<
185,7114,7056,>
186,7114,7083,>
187,7115,7123,>
188,7123,7115,<
189,7133,7001,>
190,7133,7083,>
191,7138,7008,>
192,7138,7010,>
193,7138,7015,>
194,7138,7148,>
195,7148,7138,<
196,8003,8001,>
197,8003,8002,>
198,8013,8002,<
199,8014,8002,<
200,8023,8021,M
201,8026,8001,>
202,8026,8020,>
203,8034,8002,<
204,8035,8002,<
205,8042,8041,M
206,8046,8002,>
207,8046,8038,>
208,8057,8040,M
209,8058,8001,M
210,8063,8001,>
211,8063,8002,>
212,8066,8001,>
213,8066,8061,>
214,8069,8065,M
215,8070,8065,M
216,8071,8065,M
217,8072,8045,M
218,8074,8001,>
219,8074,8002,>
220,8074,8038,>
221,8102,8101,<
222,8103,8101,<
223,8110,8103,M
224,8114,8002,<
225,8116,8103,M
226,8117,8074,>
227,8117,8077,>
228,8118,8001,>
229,8118,8077,>
230,8119,8001,>
231,8119,8038,>
232,9001,9002,>
233,9001,9003,>
234,9002,9001,<
235,9002,9032,<
236,9002,9035,<
237,9003,9001,<
238,9003,9014,<
239,9005,9008,<
240,9005,9014,<
241,9005,9015,<
242,9005,9032,<
243,9007,9008,<
244,9007,9014,<
245,9007,9015,<
246,9007,9032,<
247,9008,9005,>
248,9008,9007,>
249,9008,9014,<
250,9008,9015,<
251,9008,9032,<
252,9009,9031,<
253,9010,9031,<
254,9013,9041,>
255,9013,9042,>
256,9013,9045,>
257,9013,9047,>
258,9013,9048,>
259,9013,9014,<
260,9013,9015,<
261,9014,9003,>
262,9014,9005,>
263,9014,9007,>
264,9014,9008,>
265,9014,9013,>
266,9015,9005,>
267,9015,9007,>
268,9015,9008,>
269,9015,9013,>
270,9027,9035,<
271,9031,9009,>
272,9031,9010,>
273,9032,9002,>
274,9032,9005,>
275,9032,9007,>
276,9032,9008,>
277,9035,9002,>
278,9035,9027,>
279,9035,9039,>
280,9039,9035,<
281,9041,9013,M
282,9042,9013,M
283,9045,9047,>
284,9045,9048,>
285,9045,9013,M
286,9047,9013,M
287,9047,9045,M
288,9048,9013,M
289,9048,9045,M
290,10002,10001,<
291,10005,10003,>
292,10005,10004,>
293,10011,10001,<
294,10031,10016,M
295,10038,10008,M
296,10038,10016,M
297,10046,10043,<
298,10047,10008,M
299,10047,10016,M
300,10049,10043,<
301,10050,10043,<
302,10052,10043,<
303,10055,10054,<
