refind,label,description,class,notes
∅,,,,
1001,ruwa,married couple,hum,
1002,ren̄e,"woman, wife of 1004",hum,
1003,ni'i ren̄e,child of 1002 and 1004,hum,
1004,'ama,"husband of 1002, father of 1003",hum,
1005,maru,uncle of 1003,hum,
1006,'ōnō 'ev'ē voruo',litter place,loc,
1007,ren̄e,close friend of 1003,hum,
1008,voruo',rubbish,inm,
1009,tētē,two babies,hum,
1010,kolo,back of 1007,bdp,
1011,'uvu woqe'enge,tree,inm,
1012,bē,water,inm,depicted reality
1013,wovinqa,coconut shells,inm,depicted reality
1014,dudu n̄ar,nangae leaves,inm,depicted reality
1015,dē,1007 and 1005,hum,depicted reality
1016,gogov,clothes of 1009,inm,
1018,babara,shooting contest,loc,
1019,vus,bows,inm,
1020,wō'iqē,arrows,inm,
1021,dir,"'they'; probably the aunt, uncle and the two babies (1005, 1007, 1015, 1009)",hum,
1022,'ili,chicken egg,inm,
1024,raga,everybody there,hum,
1025,tōo,chickens hatched from 1022,anm,depicted reality
1026,ren̄e,woman looking after the twins (1009),hum,
1027,bēlēl,chicken basket,inm,depicted reality
1028,ge,first one of the twins,anm,
1029,ge,second one of the twins,anm,
1030,'ili,m̄ala eggs,inm,depicted reality
1031,dom,yams,inm,
1032,baka,nambanga tree,inm,
1033,tōo,first one of the chickens,anm,
1034,tōo,second one of the chickens,anm,
1035,gaga,nambanga vine,inm,
1036,aval,the other side,loc,
1037,qaran̄a,gorge,loc,
1038,raga,everybody at home,hum,depicted reality
1039,raga,everybody,hum,
1040,wōm̄ōm̄ō',bush,loc,
1041,naw,sea,loc,
1042,busu,finger of 1029,bdp,
1043,busu,finger of 1028,bdp,
1044,busu,fingers of 1028 and 1029,bdp,
2001,kaka,story to be told,abs,
2002,ruwa,two brothers,hum,
2003,raw,intra-sex pig the two brothers want,anm,
2004,Lēmērig,Lēmērig,loc,
2005,Vatov,Vatov,loc,
2006,Dōl,Dōl,anm,
2007,ZERO,(shell) money the brothers have,inm,
2008,raw,the intra-sex pig the brothers buy,anm,
2009,gidō'ōl,Dōl and the two brothers,hum,
2010,'ēqē',garden,loc,
2011,qe'e,taro,inm,
2012,rōrō',cabbage,inm,
2013,gie,kava,inm,
2014,nim̄ē,house,loc,
2015,n̄ar,canarium nuts,inm,
2016,wig,wig pudding,mss,
2017,'uwam̄ēre,firstborn of the two brothers,hum,
2018,'isim̄ēre,second born of the two brothers,hum,
2019,wōvēre,coconut fibres,inm,
2020,wōbin,penis of 2017,bdp,
2021,'irbē,body of 2017,bdp,
2022,nim̄,toilet,loc,
