ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
anv,anv,,Stefan Schnell,"Schnell, Stefan. 2022. Multi-CAST Vera'a. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#veraa) (date accessed)",1,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,97,VR01,female,20,yes,1985,yes,TN,2007,367.26933333333335,schnell2010;schnell2011;schnell2016b
as1,as1,,Stefan Schnell,"Schnell, Stefan. 2022. Multi-CAST Vera'a. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#veraa) (date accessed)",2,as1_mp3 as1_wav as1_eaf as1_xml as1_tsv,122,VR02,male,40,yes,1965,yes,TN,2007,316.24,schnell2010;schnell2011;schnell2016b
gabg,gabg,,Stefan Schnell,"Schnell, Stefan. 2022. Multi-CAST Vera'a. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#veraa) (date accessed)",3,gabg_mp3 gabg_wav gabg_eaf gabg_xml gabg_tsv,125,VR03,male,40,yes,1965,yes,TN,2007,526.3733333333333,schnell2010;schnell2011;schnell2016b
gaqg,gaqg,,Stefan Schnell,"Schnell, Stefan. 2022. Multi-CAST Vera'a. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#veraa) (date accessed)",4,gaqg_mp3 gaqg_wav gaqg_eaf gaqg_xml gaqg_tsv,101,VR04,male,40,yes,1965,yes,TN,2007,532.512,schnell2010;schnell2011;schnell2016b
hhak,hhak,,Stefan Schnell,"Schnell, Stefan. 2022. Multi-CAST Vera'a. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#veraa) (date accessed)",5,hhak_mp3 hhak_wav hhak_eaf hhak_xml hhak_tsv,188,VR05,male,20,yes,1985,yes,TN,2007,759.8453333333333,schnell2010;schnell2011;schnell2016b
isam,isam,,Stefan Schnell,"Schnell, Stefan. 2022. Multi-CAST Vera'a. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#veraa) (date accessed)",6,isam_mp3 isam_wav isam_eaf isam_xml isam_tsv,95,VR06,male,60,yes,1950,yes,TN,2007,444.208,schnell2010;schnell2011;schnell2016b
iswm,iswm,,Stefan Schnell,"Schnell, Stefan. 2022. Multi-CAST Vera'a. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#veraa) (date accessed)",7,iswm_mp3 iswm_wav iswm_eaf iswm_xml iswm_tsv,363,VR07,male,60,yes,1950,yes,TN,2007,1303.16,schnell2010;schnell2011;schnell2016b
jjq,jjq,,Stefan Schnell,"Schnell, Stefan. 2022. Multi-CAST Vera'a. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#veraa) (date accessed)",8,jjq_mp3 jjq_wav jjq_eaf jjq_xml jjq_tsv,485,VR08,male,60,yes,1950,yes,TN,2007,1818.992,schnell2010;schnell2011;schnell2016b
mvbw,mvbw,,Stefan Schnell,"Schnell, Stefan. 2022. Multi-CAST Vera'a. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#veraa) (date accessed)",9,mvbw_mp3 mvbw_wav mvbw_eaf mvbw_xml mvbw_tsv,137,VR09,male,30,yes,1975,yes,TN,2007,607.44,schnell2010;schnell2011;schnell2016b
pala,pala,,Stefan Schnell,"Schnell, Stefan. 2022. Multi-CAST Vera'a. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#veraa) (date accessed)",10,pala_b_mp3 pala_b_wav pala_b_eaf pala_b_xml pala_b_tsv pala_a_mp3 pala_a_wav pala_a_eaf pala_a_xml pala_a_tsv,249,VR10,female,40,yes,1965,yes,TN,2007,643.36,schnell2010;schnell2011;schnell2016b
